"yautcorh","ytotcorh","ypc","ypchtrabcor","esc","nse","edad","sexo"
2600000,2945500,589100,520000,12,2,28,2
2600000,2945500,589100,520000,17,2,27,2
4e+05,963997,481999,2e+05,0,2,81,1
4e+05,963997,481999,2e+05,12,2,50,1
377000,415310,207655,188500,12,2,59,2
377000,415310,207655,188500,12,2,60,1
7e+05,714750,714750,7e+05,12,2,52,2
340000,363917,181959,60000,12,2,29,2
340000,363917,181959,60000,NA,2,6,2
0,103267,103267,0,11,2,35,2
60583,760361,760361,60583,12,2,69,2
1594667,1636334,409084,397083,17,2,39,2
802083,1411861,470620,267361,8,2,67,2
802083,1411861,470620,267361,12,2,41,1
802083,1411861,470620,267361,15,2,32,2
1397834,1862584,465646,311959,15,2,45,2
1397834,1862584,465646,311959,12,2,19,1
1397834,1862584,465646,311959,5,2,48,1
5260166,5705666,1141133,958033,12,2,68,1
5260166,5705666,1141133,958033,16,2,33,2
5260166,5705666,1141133,958033,14,2,33,1
1352500,1652500,413125,225625,15,2,65,1
1352500,1652500,413125,225625,17,2,63,2
1352500,1652500,413125,225625,15,2,24,1
722000,735178,183795,163000,15,2,50,2
722000,735178,183795,163000,12,2,28,2
722000,735178,183795,163000,14,2,21,1
2738333,4431333,738556,234722,16,6,47,2
2738333,4431333,738556,234722,17,6,69,2
2200000,2600000,866667,183333,15,6,65,1
2200000,2600000,866667,183333,17,6,63,2
2200000,2600000,866667,183333,17,6,34,2
259000,559000,559000,0,8,6,62,2
2120000,3620000,724000,424000,17,6,32,2
2120000,3620000,724000,424000,17,6,28,2
2120000,3620000,724000,424000,17,6,34,2
4e+05,810000,405000,2e+05,14,6,39,1
5221666,6721666,1344333,684333,17,6,53,2
5221666,6721666,1344333,684333,17,6,58,1
307000,917000,458500,60000,12,3,59,2
307000,917000,458500,60000,13,3,62,1
405000,1167209,583605,202500,15,3,26,2
405000,1167209,583605,202500,NA,3,6,2
40000,633917,633917,40000,10,3,65,2
382000,842000,421000,191000,7,3,44,2
382000,842000,421000,191000,12,3,21,2
2536667,3065671,510945,217778,12,3,68,1
2536667,3065671,510945,217778,3,3,88,2
240000,739778,739778,240000,4,3,74,1
2700833,3700833,1850417,685000,17,7,69,2
333000,864858,216215,83250,13,1,35,2
333000,864858,216215,83250,NA,1,10,2
333000,864858,216215,83250,NA,1,5,2
333000,864858,216215,83250,15,1,22,1
1544000,2008257,502064,306000,12,1,29,2
1544000,2008257,502064,306000,10,1,28,1
180000,440000,220000,0,11,1,65,2
5590787,5590787,465899,465899,18,1,22,2
5590787,5590787,465899,465899,12,1,60,2
5590787,5590787,465899,465899,12,1,61,1
5590787,5590787,465899,465899,8,1,44,1
5590787,5590787,465899,465899,13,1,19,1
5590787,5590787,465899,465899,12,1,19,1
5590787,5590787,465899,465899,17,1,33,2
5590787,5590787,465899,465899,16,1,31,1
697333,997333,166222,99556,11,1,37,1
697333,997333,166222,99556,12,1,31,2
1145833,1648833,412208,241458,12,1,59,2
1145833,1648833,412208,241458,10,1,43,1
1145833,1648833,412208,241458,12,1,56,1
1145833,1648833,412208,241458,2,1,83,2
503750,503750,503750,503750,17,1,56,1
6e+05,1207834,301959,150000,4,7,81,1
6e+05,1207834,301959,150000,4,7,72,2
6e+05,1207834,301959,150000,16,7,28,1
450000,608785,152196,112500,7,7,42,2
450000,608785,152196,112500,7,7,47,1
1512333,2512333,1256167,0,16,7,60,2
630000,930000,310000,210000,12,7,38,1
693935,1079252,215850,70000,16,7,24,2
693935,1079252,215850,70000,8,7,55,2
693935,1079252,215850,70000,12,7,51,1
693935,1079252,215850,70000,NA,7,0,2
650000,1673917,836959,275000,12,7,21,1
1206000,1489333,372333,301500,15,7,45,2
1206000,1489333,372333,301500,12,7,45,1
2732833,3265215,653043,526700,14,7,51,2
2732833,3265215,653043,526700,15,7,22,1
2732833,3265215,653043,526700,14,7,24,1
255000,1472852,736426,2500,11,7,58,2
3e+05,3e+05,1e+05,1e+05,10,6,47,2
2043334,2043334,510834,481667,16,6,35,2
1885667,1885667,942834,942834,12,6,18,1
480000,980000,980000,0,13,7,61,2
800417,800417,800417,800417,16,7,60,1
860000,860000,286667,2e+05,12,7,55,2
860000,860000,286667,2e+05,12,7,57,1
714167,1164167,388056,138056,10,7,63,1
714167,1164167,388056,138056,6,7,94,2
714167,NA,NA,138056,14,7,23,2
4e+05,469192,234596,150000,12,7,44,2
4e+05,469192,234596,150000,NA,7,12,2
1701666,2401666,1200833,624167,NA,7,87,2
1580000,1953973,488493,395000,12,2,61,1
1580000,1953973,488493,395000,12,2,47,2
1580000,1953973,488493,395000,15,2,24,2
1580000,1953973,488493,395000,12,2,17,1
404167,737500,245833,133333,8,2,59,1
404167,737500,245833,133333,8,2,60,2
404167,737500,245833,133333,14,2,23,2
1193750,1546159,515386,327917,13,2,18,2
1193750,1546159,515386,327917,NA,2,10,2
4e+05,710000,236667,133333,11,2,31,2
4e+05,710000,236667,133333,11,2,32,1
4096667,4646667,1161667,975834,NA,2,4,1
888333,1338333,1338333,885000,15,3,33,2
2657667,3250667,1083556,828556,15,3,75,2
2657667,3250667,1083556,828556,17,3,48,2
724000,724000,241333,241333,12,3,35,2
567500,1008678,252170,141875,15,3,37,1
567500,1008678,252170,141875,14,3,35,2
567500,1008678,252170,141875,NA,3,12,1
567500,1008678,252170,141875,NA,3,6,1
2533649,2883649,961216,844550,17,2,24,1
1031752,1073419,268355,257938,17,2,50,1
2750000,3850000,1925000,0,NA,2,81,2
1830833,1830833,915417,882083,15,2,58,1
1830833,1830833,915417,882083,17,2,61,2
2135000,2785000,928333,591667,10,3,16,1
2135000,2785000,928333,591667,NA,3,12,1
7e+05,716667,716667,7e+05,16,2,43,2
634667,643000,643000,634667,17,2,36,1
399000,695656,231885,133000,12,2,46,2
1404167,2008084,669361,401389,12,2,72,1
1404167,2008084,669361,401389,12,2,47,2
1404167,2008084,669361,401389,12,2,22,1
1016667,1416667,472222,333333,7,2,56,1
1016667,1416667,472222,333333,12,2,19,2
